Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
PXD,Pioneer Natural Resources,Energy,154.43,0.05,,-3.04,59.23,103.50,171.88,25.26,1.16,7.92,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PXD
PBI,Pitney-Bowes,Industrials,17.93,4.18,9.24,1.94,0.64,16.24,22.18,3.38,0.78579,0.95,27.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBI
PNC,PNC Financial Services,Financials,83.68,2.44,11.44,7.31,83.52,77.67,100.52,41.78,0.00,2.83,1.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,95.65,2.09,20.70,4.62,45.16,82.15,141.03,7.93,1.07,1.05,2.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RL
PPG,PPG Industries,Materials,108.18,1.48,20.52,5.27,19.40,82.93,118.69,28.78,2.63,1.86,5.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPG
PPL,PPL Corp.,Utilities,39.04,3.89,51.50,0.76,14.43,29.18,39.52,26.43,3.73,3.54,2.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPL
PX,Praxair Inc.,Materials,112.10,2.68,21.73,5.16,17.14,95.60,123.65,31.98,3.49,3.04,6.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PX
PCLN,Priceline.com Inc,Consumer Discretionary,1309.24,,25.77,50.81,182.37,954.02,1476.52,64.99,3.65,6.89,7.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCLN
PFG,Principal Financial Group,Financials,42.34,3.68,10.81,3.92,34.58,33.09,58.02,12.27,1.64,0.99,1.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFG
PG,Procter & Gamble,Consumer Staples,83.13,3.22,26.20,3.17,21.84,65.02,83.87,221.28,19.19,3.11,3.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG
PGR,Progressive Corp.,Financials,31.81,2.79,15.21,2.09,12.97,27.23,35.54,18.55,2.16,0.87,2.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PGR
PLD,Prologis,Financials,49.86,3.37,36.05,1.38,27.72,35.25,50.44,26.19,1.60,10.46,1.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PLD
PRU,Prudential Financial,Financials,72.19,3.88,6.73,10.72,111.13,57.19,92.60,31.91,8.44,0.55,0.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRU
PEG,Public Serv. Enterprise Inc.,Utilities,44.81,3.66,14.55,3.08,26.37,36.80,47.41,22.67,4.05,2.28,1.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEG
PSA,Public Storage,Financials,241.34,2.98,38.74,6.23,29.29,182.08,277.60,41.84,1.78,16.98,8.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA
PHM,Pulte Homes Inc.,Consumer Discretionary,19.05,1.89,13.03,1.46,13.78,14.61,22.10,6.59,0.86663,1.03,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM
PVH,PVH Corp.,Consumer Discretionary,98.63,0.15,11.82,8.34,60.04,64.16,120.67,7.97,1.03,0.97,1.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH
QRVO,Qorvo,Information Technology,54.50,,,-0.20,39.25,33.30,88.35,6.95,0.72472,2.68,1.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QRVO
